heuristicSolve granularita
value	average error	max error	average steps	max steps
-1 -k 3	0,0069011510642339085	0,038419319429198684	20	20
-1 -k 2	0,014633866076520183	0,047503045066991476	20	20
-1 -k 1,5	0,006671193711873974	0,03699551569506727	20	20
-1 -k 1	0,0051376371530761165	0,0241423125794155	20	20
-1 -k 0,8	0,006821061082886706	0,03232125367286973	20	20
-1 -k 0,5	0,004814709775595399	0,020524515393386546	20	20
-1 -k 0,3	0,005685117950850549	0,030450669914738125	20	20
1 -k 0,3	0,00367701603905501	0,015527950310559006	20	20
1 -k 0,5	0,007489889782569826	0,030513176144244106	20	20
1 -k 0,8	0,011173023669068003	0,040059347181008904	20	20
1 -k 1	0,006853014054358099	0,03430749682337993	20	20
1 -k 1,5	0,004516791849819895	0,03247631935047361	20	20
1 -k 2	0,006268186407045087	0,03804347826086957	20	20
1 -k 3	0,004240629355680427	0,03427172582619339	20	20
