solveAPX granularita
value	average error	max error	average steps	max steps
-1 -k 3	0,04398663842898261	0,11074918566775244	212,8	278
-1 -k 2	0,02980675293384058	0,08324552160168598	286,2	395
-1 -k 1,5	0,019910472038332027	0,06550218340611354	335,15	441
-1 -k 1	0,009674096345740662	0,03850156087408949	502,3	674
-1 -k 0,8	0,011635239467445022	0,03229166666666667	585,15	695
-1 -k 0,5	0,006156049351145849	0,04428697962798937	740,5	907
-1 -k 0,3	0,013869318299437211	0,042759961127308066	831,25	1085
1 -k 0,3	0,0016743777354681795	0,014462809917355372	1069,65	1275
1 -k 0,5	0,0017263174727172527	0,008464328899637243	1097,3	1277
1 -k 0,8	0,005087368162246963	0,021468926553672316	1185,75	1315
1 -k 1	0,001001054790080742	0,008985879332477536	1258,35	1424
1 -k 1,5	0,004612782592829691	0,04187192118226601	1251,9	1385
1 -k 2	0,002284529631377168	0,016877637130801686	1215,8	1387
1 -k 3	0,0043346771922883635	0,03773584905660377	1055,55	1246
